Unnamed: 0,title,url
61.0,"The Black Keys \""Chop and Change\"" Remastered 10th Anniversary Edition [Official Audio]",https://www.youtube.com/watch?v=yLL__rMjZgs
62.0,Money - Pink Floyd HD (Studio Version),https://www.youtube.com/watch?v=cpbbuaIA3Ds
63.0,Pink Floyd - Time (2011 Remastered),https://www.youtube.com/watch?v=JwYX52BP2Sk
64.0,AC/DC - Hells Bells (Official Video),https://www.youtube.com/watch?v=etAIpkdhU9Q
65.0,Bob Dylan - Knockin' On Heaven's Door (Official Audio),https://www.youtube.com/watch?v=rm9coqlk8fY
66.0,Three Days Grace - Riot (Official Audio),https://www.youtube.com/watch?v=ixZDTiXiHsc
67.0,The Weeknd - False Alarm (Official Video),https://www.youtube.com/watch?v=CW5oGRx9CLM
68.0,Skillet - Monster (Official Video),https://www.youtube.com/watch?v=1mjlM_RnsVE
69.0,Daft Punk - Harder Better Faster Stronger (Official audio),https://www.youtube.com/watch?v=yydNF8tuVmU
70.0,David Bowie - Heroes (Official Video),https://www.youtube.com/watch?v=lXgkuM2NhYI
71.0,Daft Punk - Around the world (Official Audio),https://www.youtube.com/watch?v=dwDns8x3Jb4
72.0,David Bowie – Space Oddity (Official Video),https://www.youtube.com/watch?v=iYYRH4apXDo
73.0,Suffragette City (2012 Remaster),https://www.youtube.com/watch?v=rq1bcVOmyjw
74.0,Elton John - Sacrifice,https://www.youtube.com/watch?v=NrLkTZrPZA4
75.0,The Beatles - Hey Bulldog (Promo video),https://www.youtube.com/watch?v=M4vbJQ-MrKo
76.0,Europe - The Final Countdown (Official Video),https://www.youtube.com/watch?v=9jK-NcRmVcw
77.0,Mr. Crowley,https://www.youtube.com/watch?v=o0RE230PlX4
78.0,Guns N' Roses - Paradise City,https://www.youtube.com/watch?v=Rbm6GXllBiw
79.0,Manowar - Warriors of the world,https://www.youtube.com/watch?v=K70nC0FbxiU
80.0,Metallica - King Nothing (Official Music Video),https://www.youtube.com/watch?v=Xz9DX_VMXdI
81.0,ВИА Ялла - Учкудук три колодца / Yalla - UCHKUDUK,https://www.youtube.com/watch?v=Qr9EVULUGJs
82.0,Scorpions - Holiday,https://www.youtube.com/watch?v=IBtGmxU1wzs
83.0,Hollywood Undead - Been to Hell (Official Video),https://www.youtube.com/watch?v=SFnE2_DUhbs
84.0,Biffy Clyro - Mountains (Official Music Video),https://www.youtube.com/watch?v=NfzwM4pdyxU
85.0,Belladonna (2007 Remaster),https://www.youtube.com/watch?v=4zHG3kXrRZc
86.0,Depeche Mode - Enjoy The Silence (Official Video),https://www.youtube.com/watch?v=aGSKrC7dGcY
87.0,Mattafix - Big City Life,https://www.youtube.com/watch?v=4mtfnfQoAco
88.0,Pearl Jam - Even Flow (Official Video),https://www.youtube.com/watch?v=CxKWTzr-k6s
89.0,Deep Purple-Burn,https://www.youtube.com/watch?v=LCnebZnysmI
90.0,Foo Fighters - Everlong (Official HD Video),https://www.youtube.com/watch?v=eBG7P-K-r1Y
91.0,Biffy Clyro - Bubbles (Official Music Video),https://www.youtube.com/watch?v=UxUb9Yzr1sE
92.0,Eric Carmen - All by Myself (Audio),https://www.youtube.com/watch?v=iN9CjAfo5n0
93.0,Eyes Of The World,https://www.youtube.com/watch?v=O8FcrH1lDeY
94.0,Slade - Far Far Away TopPop,https://www.youtube.com/watch?v=iQ5itYUNu70
95.0,Slade - Oh la la in La,https://www.youtube.com/watch?v=sI3ELrs9GCA
96.0,Comatose,https://www.youtube.com/watch?v=SbjKOI8VTY0
97.0,Lazy - Deep Purple,https://www.youtube.com/watch?v=dqM5L5JQseI
98.0,Creedence Clearwater Revival: Fortunate Son,https://www.youtube.com/watch?v=ec0XKhAHR5I
99.0,Deep Purple - Demon's Eye,https://www.youtube.com/watch?v=ZwdVcMrYUrA
100.0,Daft Punk - Get Lucky (Official Audio) ft. Pharrell Williams Nile Rodgers,https://www.youtube.com/watch?v=5NV6Rdv1a3I
101.0,Black Sabbath - Die Young (Official Music Video),https://www.youtube.com/watch?v=R8VFpGhP0JU
102.0,Deep Purple - Highway Star,https://www.youtube.com/watch?v=Wr9ie2J2690
103.0,The Rolling Stones - Doom And Gloom,https://www.youtube.com/watch?v=1DWiB7ZuLvI
104.0,Toto - Hold The Line (Official Video),https://www.youtube.com/watch?v=htgr3pvBr-I
105.0,Die Die My Darling,https://www.youtube.com/watch?v=Sh3gD_AuyaA
106.0,Toto - Africa (Official HD Video),https://www.youtube.com/watch?v=FTQbiNvZqaY
107.0,Calogero - Face à la mer (Clip Officiel) ft. Passi,https://www.youtube.com/watch?v=MFhKnRLEihE
108.0,Rammstein - Feuer Frei! (Official Video),https://www.youtube.com/watch?v=ZkW-K5RQdzo
109.0,Deep Purple - Into the Fire,https://www.youtube.com/watch?v=QcH_HCRQczM
110.0,Biffy Clyro - Glitter \u0026 Trauma (Official Music Video),https://www.youtube.com/watch?v=C4OLuOrJ0tg
111.0,John Lennon - Imagine (Lyrics),https://www.youtube.com/watch?v=bNnFFKv_NyI
112.0,Have A Cigar,https://www.youtube.com/watch?v=tbdpv7G_PPg
113.0,"Heart - \""Barracuda\"" (1977)",https://www.youtube.com/watch?v=PeMvMNpvB5M
114.0,Mumford Sons - Hopeless Wanderer (Official Music Video),https://www.youtube.com/watch?v=rId6PKlDXeU
115.0,Warren G - Regulate (Official Music Video) ft. Nate Dogg,https://www.youtube.com/watch?v=1plPyJdXKIY
116.0,Опиум для никого,https://www.youtube.com/watch?v=qBFusZDoApc
